timestamp,power.draw [W],temperature.gpu,memory.used [MiB]
2026-09-02T16:57:51Z,178.50 W, 44, 50760 MiB
2026-09-02T16:57:51Z,175.13 W, 44, 52170 MiB
2026-09-02T16:57:51Z,168.73 W, 42, 60830 MiB
2026-09-02T16:57:52Z,179.18 W, 44, 51840 MiB
2026-09-02T16:57:52Z,226.95 W, 45, 50912 MiB
2026-09-02T16:57:52Z,178.37 W, 45, 52312 MiB
2026-09-02T16:57:52Z,178.04 W, 42, 61048 MiB
2026-09-02T16:57:53Z,52.49 W, 41, 51898 MiB
2026-09-02T16:57:53Z,244.60 W, 45, 50970 MiB
2026-09-02T16:57:53Z,186.83 W, 45, 52550 MiB
2026-09-02T16:57:53Z,173.19 W, 42, 61160 MiB
2026-09-02T16:57:54Z,51.77 W, 39, 51898 MiB
2026-09-02T16:57:54Z,67.23 W, 39, 50970 MiB
2026-09-02T16:57:54Z,53.21 W, 40, 52550 MiB
2026-09-02T16:57:54Z,59.59 W, 39, 61160 MiB
2026-09-02T16:57:55Z,196.06 W, 44, 51898 MiB
2026-09-02T16:57:55Z,257.22 W, 45, 50970 MiB
2026-09-02T16:57:55Z,190.29 W, 44, 52550 MiB
2026-09-02T16:57:55Z,179.51 W, 42, 61160 MiB
2026-09-02T16:57:56Z,181.70 W, 45, 51898 MiB
2026-09-02T16:57:56Z,178.25 W, 45, 50970 MiB
2026-09-02T16:57:56Z,170.40 W, 46, 52550 MiB
2026-09-02T16:57:56Z,176.88 W, 43, 61160 MiB
2026-09-02T16:57:57Z,182.09 W, 45, 51898 MiB
2026-09-02T16:57:57Z,165.14 W, 46, 50970 MiB
2026-09-02T16:57:57Z,180.03 W, 46, 52550 MiB
2026-09-02T16:57:57Z,187.66 W, 44, 61160 MiB
2026-09-02T16:57:58Z,170.49 W, 46, 51898 MiB
2026-09-02T16:57:58Z,179.35 W, 46, 50970 MiB
2026-09-02T16:57:58Z,181.82 W, 47, 52550 MiB
2026-09-02T16:57:58Z,167.48 W, 44, 61160 MiB
2026-09-02T16:57:59Z,181.64 W, 46, 51898 MiB
2026-09-02T16:57:59Z,164.68 W, 47, 50970 MiB
2026-09-02T16:57:59Z,173.77 W, 47, 52550 MiB
2026-09-02T16:57:59Z,163.24 W, 44, 61160 MiB
2026-09-02T16:58:00Z,52.06 W, 40, 51898 MiB
2026-09-02T16:58:00Z,67.62 W, 41, 50970 MiB
2026-09-02T16:58:00Z,54.28 W, 42, 52550 MiB
2026-09-02T16:58:00Z,58.54 W, 42, 61160 MiB
2026-09-02T16:58:01Z,189.86 W, 46, 51898 MiB
2026-09-02T16:58:01Z,183.50 W, 46, 50970 MiB
2026-09-02T16:58:01Z,182.33 W, 46, 52550 MiB
2026-09-02T16:58:01Z,65.76 W, 39, 61160 MiB
2026-09-02T16:58:02Z,178.13 W, 46, 51898 MiB
2026-09-02T16:58:02Z,184.00 W, 47, 50970 MiB
2026-09-02T16:58:02Z,124.95 W, 47, 52550 MiB
2026-09-02T16:58:02Z,63.65 W, 42, 61160 MiB
2026-09-02T16:58:03Z,193.55 W, 46, 51898 MiB
2026-09-02T16:58:03Z,179.38 W, 47, 50970 MiB
2026-09-02T16:58:03Z,183.75 W, 46, 52550 MiB
2026-09-02T16:58:03Z,134.14 W, 44, 61160 MiB
2026-09-02T16:58:04Z,174.08 W, 46, 51898 MiB
2026-09-02T16:58:04Z,188.99 W, 47, 50970 MiB
2026-09-02T16:58:04Z,184.17 W, 47, 52550 MiB
2026-09-02T16:58:04Z,62.16 W, 44, 61160 MiB
2026-09-02T16:58:05Z,190.12 W, 47, 51898 MiB
2026-09-02T16:58:05Z,176.92 W, 46, 50970 MiB
2026-09-02T16:58:05Z,178.48 W, 47, 52550 MiB
2026-09-02T16:58:05Z,62.60 W, 44, 61160 MiB
2026-09-02T16:58:06Z,53.29 W, 42, 51898 MiB
2026-09-02T16:58:06Z,66.55 W, 42, 50970 MiB
2026-09-02T16:58:06Z,163.20 W, 46, 52550 MiB
2026-09-02T16:58:06Z,63.71 W, 45, 61160 MiB
2026-09-02T16:58:07Z,52.16 W, 41, 51898 MiB
2026-09-02T16:58:07Z,67.43 W, 41, 50970 MiB
2026-09-02T16:58:07Z,53.97 W, 42, 52550 MiB
2026-09-02T16:58:07Z,60.27 W, 40, 61160 MiB
2026-09-02T16:58:08Z,39.36 W, 40, 51898 MiB
2026-09-02T16:58:08Z,43.66 W, 40, 50970 MiB
2026-09-02T16:58:08Z,40.14 W, 41, 52550 MiB
2026-09-02T16:58:08Z,58.57 W, 40, 61160 MiB
2026-09-02T16:58:09Z,39.27 W, 40, 51898 MiB
2026-09-02T16:58:09Z,43.68 W, 39, 50970 MiB
2026-09-02T16:58:09Z,40.35 W, 41, 52550 MiB
2026-09-02T16:58:09Z,40.78 W, 39, 61160 MiB
2026-09-02T16:58:10Z,39.27 W, 40, 51898 MiB
2026-09-02T16:58:10Z,43.47 W, 39, 50970 MiB
2026-09-02T16:58:10Z,40.35 W, 40, 52550 MiB
2026-09-02T16:58:10Z,41.28 W, 38, 61160 MiB
2026-09-02T16:58:11Z,39.19 W, 39, 51898 MiB
2026-09-02T16:58:11Z,43.29 W, 39, 50970 MiB
2026-09-02T16:58:11Z,40.16 W, 40, 52550 MiB
2026-09-02T16:58:11Z,41.10 W, 38, 61160 MiB
2026-09-02T16:58:12Z,39.17 W, 39, 51898 MiB
2026-09-02T16:58:12Z,43.39 W, 39, 50970 MiB
2026-09-02T16:58:12Z,40.16 W, 40, 52550 MiB
2026-09-02T16:58:12Z,41.18 W, 38, 61160 MiB
2026-09-02T16:58:13Z,39.07 W, 39, 51898 MiB
2026-09-02T16:58:13Z,43.28 W, 38, 50970 MiB
2026-09-02T16:58:13Z,40.06 W, 40, 52550 MiB
2026-09-02T16:58:13Z,41.09 W, 38, 61160 MiB
2026-09-02T16:58:14Z,39.07 W, 39, 51898 MiB
2026-09-02T16:58:14Z,43.09 W, 38, 50970 MiB
2026-09-02T16:58:14Z,40.07 W, 40, 52550 MiB
2026-09-02T16:58:14Z,41.09 W, 38, 61160 MiB
2026-09-02T16:58:15Z,38.98 W, 39, 51898 MiB
2026-09-02T16:58:15Z,43.20 W, 38, 50970 MiB
2026-09-02T16:58:15Z,39.97 W, 39, 52550 MiB
2026-09-02T16:58:15Z,41.10 W, 37, 61160 MiB
2026-09-02T16:58:16Z,38.96 W, 39, 51898 MiB
2026-09-02T16:58:16Z,43.09 W, 38, 50970 MiB
2026-09-02T16:58:16Z,40.07 W, 39, 52550 MiB
2026-09-02T16:58:16Z,41.09 W, 37, 61160 MiB
2026-09-02T16:58:17Z,39.27 W, 39, 51898 MiB
2026-09-02T16:58:17Z,42.99 W, 38, 50970 MiB
2026-09-02T16:58:17Z,40.05 W, 39, 52550 MiB
2026-09-02T16:58:17Z,40.89 W, 37, 61160 MiB
2026-09-02T16:58:18Z,39.17 W, 39, 51898 MiB
2026-09-02T16:58:18Z,43.11 W, 38, 50970 MiB
2026-09-02T16:58:18Z,39.87 W, 39, 52550 MiB
2026-09-02T16:58:18Z,41.10 W, 37, 61160 MiB
2026-09-02T16:58:19Z,38.98 W, 39, 51898 MiB
2026-09-02T16:58:19Z,43.20 W, 38, 50970 MiB
2026-09-02T16:58:19Z,39.97 W, 39, 52550 MiB
2026-09-02T16:58:19Z,41.09 W, 37, 61160 MiB
2026-09-02T16:58:20Z,38.96 W, 39, 51898 MiB
2026-09-02T16:58:20Z,43.19 W, 38, 50970 MiB
2026-09-02T16:58:20Z,40.06 W, 39, 52550 MiB
2026-09-02T16:58:20Z,41.09 W, 37, 61160 MiB
2026-09-02T16:58:21Z,38.96 W, 38, 51898 MiB
2026-09-02T16:58:21Z,43.09 W, 37, 50970 MiB
2026-09-02T16:58:21Z,40.16 W, 39, 52550 MiB
2026-09-02T16:58:21Z,40.99 W, 37, 61160 MiB
2026-09-02T16:58:22Z,38.89 W, 38, 51898 MiB
2026-09-02T16:58:22Z,42.99 W, 37, 50970 MiB
2026-09-02T16:58:22Z,39.97 W, 39, 52550 MiB
2026-09-02T16:58:22Z,41.00 W, 37, 61160 MiB
2026-09-02T16:58:23Z,38.87 W, 38, 51898 MiB
2026-09-02T16:58:23Z,43.00 W, 37, 50970 MiB
2026-09-02T16:58:23Z,39.97 W, 39, 52550 MiB
2026-09-02T16:58:23Z,40.99 W, 37, 61160 MiB
2026-09-02T16:58:24Z,38.84 W, 38, 51898 MiB
2026-09-02T16:58:24Z,42.99 W, 37, 50970 MiB
2026-09-02T16:58:24Z,39.95 W, 39, 52550 MiB
2026-09-02T16:58:24Z,40.89 W, 37, 61160 MiB
2026-09-02T16:58:25Z,38.77 W, 38, 51898 MiB
2026-09-02T16:58:25Z,42.79 W, 37, 50970 MiB
2026-09-02T16:58:25Z,39.87 W, 39, 52550 MiB
2026-09-02T16:58:25Z,40.81 W, 37, 61160 MiB
2026-09-02T16:58:26Z,38.78 W, 38, 51898 MiB
2026-09-02T16:58:26Z,42.78 W, 37, 50970 MiB
2026-09-02T16:58:26Z,39.77 W, 38, 52550 MiB
2026-09-02T16:58:26Z,40.79 W, 36, 61160 MiB
2026-09-02T16:58:27Z,38.76 W, 38, 51898 MiB
2026-09-02T16:58:27Z,42.78 W, 37, 50970 MiB
2026-09-02T16:58:27Z,39.78 W, 38, 52550 MiB
2026-09-02T16:58:27Z,40.69 W, 36, 61160 MiB
2026-09-02T16:58:28Z,38.77 W, 38, 51898 MiB
2026-09-02T16:58:28Z,42.69 W, 37, 50970 MiB
2026-09-02T16:58:28Z,39.78 W, 38, 52550 MiB
2026-09-02T16:58:28Z,40.79 W, 36, 61160 MiB
2026-09-02T16:58:29Z,38.78 W, 38, 51898 MiB
2026-09-02T16:58:29Z,42.80 W, 37, 50970 MiB
2026-09-02T16:58:29Z,39.87 W, 38, 52550 MiB
2026-09-02T16:58:29Z,40.79 W, 36, 61160 MiB
2026-09-02T16:58:30Z,38.68 W, 38, 51898 MiB
2026-09-02T16:58:30Z,42.69 W, 37, 50970 MiB
2026-09-02T16:58:30Z,39.67 W, 38, 52550 MiB
2026-09-02T16:58:30Z,40.70 W, 36, 61160 MiB
2026-09-02T16:58:31Z,38.66 W, 38, 51898 MiB
2026-09-02T16:58:31Z,42.68 W, 37, 50970 MiB
2026-09-02T16:58:31Z,39.68 W, 38, 52550 MiB
2026-09-02T16:58:31Z,40.81 W, 36, 61160 MiB
2026-09-02T16:58:32Z,38.77 W, 38, 51898 MiB
2026-09-02T16:58:32Z,42.69 W, 36, 50970 MiB
2026-09-02T16:58:32Z,39.78 W, 38, 52550 MiB
